# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COGID
611	ToB	fire	pūwar	226
612	Rus	fire	огонь	227
613	Lit	fire	ugnis	227
614	Lat	fire	ignis	227
615	San	fire	agní	227
616	Hnd	fire	āg	227
617	oIs	fire	eldr	228
618	Bkm	fire	[ild]	228
619	oIr	fire	teine	229
620	rIr	fire	tine	229
621	Itn	fire	fuoco	230
622	Arm	fire	(bocʿ)	230
623	oIr	fire	(air gorn)	231
624	Alb	fire	zjarr	231
625	rGr	fire	φωτιά	232
626	Arm	fire	(krak)	232
627	Rus	fire	(vátra)	233
628	oIs	fire	(hyrr)	233
629	Ave	fire	ātarš	233
#
630	Lit	fish	žuvìs	234
631	aGr	fish	ἰχθῦς	234
632	Arm	fish	juk-n	234
633	Hit	fish	(suwais)?	234
634	oIs	fish	fiskr	235
635	Bkm	fish	fisk	235
636	oIr	fish	īasc	235
637	rIr	fish	iasc	235
638	Itn	fish	pesce	235
639	Lat	fish	piscis	235
640	Rus	fish	рыба	236
641	Alb	fish	>[peshk] L	237
642	rGr	fish	ψάρι	238
643	Hit	fish	[parhu] L	239
644	ToB	fish	B laks	240
645	Ave	fish	masya	241
646	San	fish	mátsya >	241
647	Hnd	fish	machlī	241
#
648	Rus	flesh	мясо	242
649	Lit	flesh	mēsà	242
650	Alb	flesh	mīshi	242
651	Arm	flesh	mis	242
652	ToB	flesh	mīsa	242
653	San	flesh	māṃsá	242
654	Hnd	flesh	mā̃s	242
655	aGr	flesh	κρέας	243
656	rGr	flesh	κρέας	243
657	oIs	flesh	hold	244
658	Bkm	flesh	[kjøtt]L	245
659	oIr	flesh	feóil	246
660	rIr	flesh	feoil	246
661	Itn	flesh	carne	247
662	Lat	flesh	carō	247
663	Hit	flesh	G	248
664	Ave	flesh	G	249
665	Hnd	flesh	(dialects)	250
666	Lat	flesh	(vivum)	251
667	Ave	flesh	(gav)	251
#
668	rIr	fly	eitil	252
669	aGr	fly	πέτομαι	252
670	rGr	fly	πετώ	252
671	Arm	fly	t’ṙč̣-	252
672	Hit	fly	pattai	252
673	Ave	fly	patǝṇti	252
674	San	fly	pát-ati	252
675	oIs	fly	fljúga	253
676	Bkm	fly	fly	253
677	oIr	fly	fo-luathar	253
678	ToB	fly	plu(s)	253
679	San	fly	(plávatē )	253
680	Rus	fly	лет-ать	254
681	Lit	fly	(lė̃kti)	254
682	Lit	fly	skr(a)id-	255
683	Itn	fly	volare	256
684	Lat	fly	< volo	256
685	Alb	fly	[flutúroj] L	257
686	Hit	fly	(St -)	258
687	Hnd	fly	uṛnā	258
#
688	Lit	foot	pėda	259
689	oIs	foot	fótr	259
690	Bkm	foot	fot	259
691	Itn	foot	piede	259
692	Lat	foot	pēs	259
693	aGr	foot	πούς	259
694	rGr	foot	πόδι	259
695	Arm	foot	(v)ot-k’	259
696	Hit	foot	pat-	259
697	ToB	foot	B paiyye	259
698	Ave	foot	pad	259
699	San	foot	pād	259
700	Hnd	foot	pair	259
701	Rus	foot	ступня (стопа)	260
702	Arm	foot	(tat)	260
703	oIr	foot	(īs)cos	261
704	rIr	foot	cos	261
705	Alb	foot	[këmbë] L	262
#
706	Rus	full	полный	263
707	Lit	full	pìlnas	263
708	oIs	full	fullr	263
709	Bkm	full	full	263
710	oIr	full	lān	263
711	rIr	full	lán	263
712	Itn	full	pieno	263
713	Lat	full	plēnus	263
714	Alb	full	plotë	263
715	aGr	full	πλέος	263
716	Arm	full	li-k’ə	263
717	Ave	full	pərənō	263
718	San	full	pūrṇá	263
719	Hnd	full	pūrṇa	263
720	rGr	full	γεμάτος	264
721	Hit	full	su(w)u	265
722	ToB	full	[ṣlyaṣṣe]	266
#
723	Rus	give	да(вать)	267
724	Lit	give	dúo(s)ti	267
725	Itn	give	dare	267
